feedback_id,feedback,sentiment,category,location
R00008,WiFi is stable today,positive,Wi-Fi,Main Gate
R01368,security arrangements are reassuring,positive,Safety,Campus
R01600,the workshop was badly organized,negative,Events,Central Lab
R00866,study space is average bro in C Block,neutral,Library,Hostel B
R00832,the reading room is comfortable in Library,positive,Library,C Block
R01140,cleanliness is acceptable bro,neutral,Cleanliness,B Block
R01525,program was enjoyable,positive,Events,Hostel B
R00235,too much salt in the food bro,negative,Food,Hostel B
R01319,the approval process takes forever in C Block,negative,Administration,B Block
R00057,network speed is normal today asap in Central Lab,neutral,Wi-Fi,Campus
R00631,faculty is not explaining the topic clearly,negative,Academics,Library
R00858,library is okay,neutral,Library,Campus
R00009,network works smoothly in my block bro,positive,Wi-Fi,ECE Lab
R00069,network speed is normal today,neutral,Wi-Fi,B Block
R00859,library facilities are normal bro in Campus,neutral,Library,Hostel B
R00943,library has too few seats in Hostel A,negative,Library,Main Gate
R00696,practical sessions are useful,positive,Laboratory,Campus
R01188,the campus needs better cleaning bro,negative,Cleanliness,Canteen
R00070,internet is available but average in ECE Lab,neutral,Wi-Fi,Central Lab
R01365,security arrangements are reassuring in Canteen,positive,Safety,Canteen
R00878,study spaces average,neutral,Library,Library
R01264,request processing is normal,neutral,Administration,Library
R00091,campus wifi is not working properly bro in Canteen,negative,Wi-Fi,Library
R01347,my request is still pending in B Block,negative,Administration,Main Gate
R01416,security is okay bro,neutral,Safety,C Block
R00576,classes are useful pls fix,positive,Academics,Canteen
R01377,security staff are helpful asap,positive,Safety,Main Gate
R01023,infrastructures okay,neutral,Infrastructure,Hostel A
R00138,lunch was fresh and good,positive,Food,Central Lab
R01338,office staff are not responding asap,negative,Administration,Library
R00398,water supply keeps getting interrupted in Canteen,negative,Hostel,Campus
R00227,there is hardly any variety,negative,Food,Hostel A
R01054,there are damaged desks in Library,negative,Infrastructure,C Block
R00437,the shuttle service works well pls fix,positive,Transport,C Block
R00019,network works smoothly in my block in Canteen,positive,Wi-Fi,Main Gate
R00588,course content is normal,neutral,Academics,Campus
R00343,maintenance is manageable bro,neutral,Hostel,Campus
R00282,hostel room is clean in C Block,positive,Hostel,B Block
R00038,good internet connection in the library pls fix,positive,Wi-Fi,Hostel A
R00010,wifis stable today in Hostel B,positive,Wi-Fi,Campus
R01429,campus safetys average,neutral,Safety,Library
R00937,reading room is overcrowded asap,negative,Library,Main Gate
R00682,the labs properly maintained,positive,Laboratory,B Block
R00352,room facilities are average in C Block,neutral,Hostel,Canteen
R01011,campus buildings are manageable in Canteen,neutral,Infrastructure,ECE Lab
R00808,lab equipment is not working bro,negative,Laboratory,Campus
R00596,the lecture was manageable,neutral,Academics,B Block
R00819,the reading room is comfortable,positive,Library,ECE Lab
R00083,internet is available but average pls fix,neutral,Wi-Fi,C Block
R00126,wifi signal is weak in my block,negative,Wi-Fi,Canteen
R01261,request processing is normal asap,neutral,Administration,C Block
R00166,mess food quality has improved pls fix,positive,Food,Hostel B
R01449,security response was slow in ECE Lab,negative,Safety,B Block
R01131,cleanings average,neutral,Cleanliness,B Block
R01312,administrative process is too slow in Campus,negative,Administration,Main Gate
R00034,network works smoothly in my block bro in Hostel A,positive,Wi-Fi,Canteen
R00270,food is often cold pls fix in Central Lab,negative,Food,Hostel A
R01413,security arrangements are normal in Canteen,neutral,Safety,Hostel B
R01441,emergency facilities need improvement pls fix,negative,Safety,Campus
R01480,emergency facilities need improvement in Hostel A,negative,Safety,A Block
R01200,the campus needs better cleaning,negative,Cleanliness,Canteen
R01465,there are not enough security staff asap in Campus,negative,Safety,ECE Lab
R01194,the campus needs better cleaning pls fix,negative,Cleanliness,ECE Lab
R00412,transport service is convenient,positive,Transport,B Block
R01225,the process was quick pls fix in Hostel B,positive,Administration,B Block
R00178,lunch was fresh and good in Canteen,positive,Food,A Block
R00110,WiFi signal is weak in my block,negative,Wi-Fi,Campus
R01313,administrative process is too slow,negative,Administration,Campus
R00190,the menu is manageable in Campus,neutral,Food,Canteen
R00060,internet is available but average,neutral,Wi-Fi,B Block
R01555,event was okay,neutral,Events,C Block
R01509,the program was enjoyable,positive,Events,Hostel A
R00715,lab equipment is working well in Library,positive,Laboratory,Hostel B
R01310,the approval process takes forever in Central Lab,negative,Administration,Hostel B
R00225,mess food is okay asap in Hostel B,neutral,Food,A Block
R01307,the approval process takes forever,negative,Administration,ECE Lab
R01212,the campus needs better cleaning in C Block,negative,Cleanliness,Central Lab
R01362,security staff are helpful in Canteen,positive,Safety,Main Gate
R00422,college bus is punctual bro in Central Lab,positive,Transport,Hostel B
R01397,security arrangements are normal in B Block,neutral,Safety,Campus
R01350,my request is still pending pls fix in ECE Lab,negative,Administration,Central Lab
R01119,cleaning staff are doing a good job in C Block,positive,Cleanliness,ECE Lab
R00780,there are not enough instruments,negative,Laboratory,Main Gate
R01572,the workshop was average asap,neutral,Events,Library
R00726,facilities are average,neutral,Laboratory,Hostel B
R01093,corridors are clean asap,positive,Cleanliness,Canteen
R00951,classrooms are comfortable bro,positive,Infrastructure,Main Gate
R00630,course content is normal asap in Library,neutral,Academics,Campus
R00677,lab equipment is working well,positive,Laboratory,C Block
R00605,teaching is average bro in Hostel A,neutral,Academics,ECE Lab
R00470,the shuttle usually arrives on time asap in Hostel B,neutral,Transport,Hostel B
R00244,too much salt in the food in ECE Lab,negative,Food,A Block
R00902,library closes too early in A Block,negative,Library,Campus
R00621,teaching is average asap,neutral,Academics,ECE Lab
R01141,cleaning is average bro in Hostel B,neutral,Cleanliness,ECE Lab
R01529,the event arrangements were good in Main Gate,positive,Events,ECE Lab
R00599,the class was okay,neutral,Academics,Library
R01479,there are not enough security staff in Campus,negative,Safety,Canteen
R01276,staff were neither helpful nor unhelpful bro,neutral,Administration,Campus
R00386,hostel rooms have leaking taps bro in Campus,negative,Hostel,Hostel A
R00127,network is terrible after evening asap in Main Gate,negative,Wi-Fi,Hostel B
R00100,campus wifi is not working properly in Campus,negative,Wi-Fi,Library
R00042,campus internet is fast pls fix in Campus,positive,Wi-Fi,A Block
R00284,water supplys good,positive,Hostel,Central Lab
R01284,the office response was average pls fix,neutral,Administration,B Block
R00620,the class was okay in Hostel A,neutral,Academics,Central Lab
R00818,the reading room is comfortable pls fix,positive,Library,Library
R00175,food is tasty today in Canteen,positive,Food,Hostel B
R01243,administration resolved my request in Main Gate,positive,Administration,Canteen
R00870,library facilities are normal asap,neutral,Library,ECE Lab
R00232,the food quality has become poor bro,negative,Food,ECE Lab
R01095,cleaning staff are doing a good job,positive,Cleanliness,Hostel B
R00865,books are available,neutral,Library,C Block
R00072,wifi is okay in my block in B Block,neutral,Wi-Fi,Central Lab
R00319,hostels okay,neutral,Hostel,Hostel A
R00952,the building is in good condition asap,positive,Infrastructure,C Block
R00450,transport service is convenient pls fix,positive,Transport,Library
R00558,the course material is helpful asap in Main Gate,positive,Academics,C Block
R00505,bus breaks down too often in Canteen,negative,Transport,B Block
R00809,practical equipment needs maintenance asap in A Block,negative,Laboratory,Hostel A
R01139,cleaning is average,neutral,Cleanliness,B Block
R00261,the food quality has become poor in Central Lab,negative,Food,C Block
R01577,event information was unclear,negative,Events,Canteen
R00233,there is hardly any variety in ECE Lab,negative,Food,Main Gate
R01420,campus safety is average bro,neutral,Safety,Hostel A
R00492,bus services manageable,neutral,Transport,B Block
R00929,library closes too early pls fix in ECE Lab,negative,Library,Canteen
R00231,food is often cold pls fix,negative,Food,Hostel B
R00453,transport is average,neutral,Transport,Main Gate
R01579,the workshop was badly organized asap in Hostel B,negative,Events,Canteen
R00571,classes are useful bro,positive,Academics,B Block
R00811,library is quiet and clean bro,positive,Library,ECE Lab
R01198,corridors are not cleaned regularly in ECE Lab,negative,Cleanliness,Hostel A
R01469,some areas are poorly lit in Main Gate,negative,Safety,A Block
R01615,the workshop was badly organized pls fix,negative,Events,B Block
R00525,the bus breaks down too often in Campus,negative,Transport,Library
R01239,the process was quick asap,positive,Administration,ECE Lab
R00698,the labs properly maintained in A Block,positive,Laboratory,Hostel A
R00464,bus timing is okay,neutral,Transport,Central Lab
R01112,corridors are clean in Hostel A,positive,Cleanliness,Library
R00520,college bus is frequently late,negative,Transport,C Block
R00103,wifi drops every few minutes pls fix,negative,Wi-Fi,Canteen
R00363,hostel rooms have leaking taps,negative,Hostel,Main Gate
R01412,security arrangements are normal,neutral,Safety,Hostel B
R01133,washrooms are okay bro,neutral,Cleanliness,Library
R01481,emergency facilities need improvement in B Block,negative,Safety,Hostel B
R01532,workshop was average in B Block,neutral,Events,Campus
R00853,there are enough study spaces in Canteen,positive,Library,Hostel B
R00145,the menu has nice variety,positive,Food,Hostel A
R00467,the shuttle usually arrives on time bro,neutral,Transport,Hostel A
R01536,the program was normal asap,neutral,Events,B Block
R00411,buses are comfortable bro,positive,Transport,Campus
R01248,administration resolved my request in B Block,positive,Administration,Hostel B
R00493,bus service is manageable in C Block,neutral,Transport,ECE Lab
R01462,some areas are poorly lit asap,negative,Safety,Hostel B
R00182,dinner was neither good nor bad bro in Hostel B,neutral,Food,Hostel B
R00484,bus timings okay,neutral,Transport,C Block
R00554,faculty support is good,positive,Academics,Canteen
R00740,some equipment is available bro in Main Gate,neutral,Laboratory,Library
R01339,administrative process is very slow in Campus,negative,Administration,Main Gate
R01031,classroom facilities are average asap in Hostel B,neutral,Infrastructure,Main Gate
R01000,facilities are normal,neutral,Infrastructure,A Block
R01587,event information was unclear bro,negative,Events,ECE Lab
R00117,wifi drops every few minutes asap,negative,Wi-Fi,Central Lab
R00745,facilities are average bro,neutral,Laboratory,B Block
R01061,campus facilities are poorly maintained in ECE Lab,negative,Infrastructure,Library
R00020,campus internet is fast asap,positive,Wi-Fi,Campus
R00667,the timetable has too many clashes asap in Campus,negative,Academics,Hostel B
R00029,network works smoothly in my block in C Block,positive,Wi-Fi,ECE Lab
R01190,garbage is piling up bro,negative,Cleanliness,ECE Lab
R01498,the workshop was interesting,positive,Events,ECE Lab
R01249,staff responded clearly asap in Hostel A,positive,Administration,Central Lab
R00590,teaching is average in C Block,neutral,Academics,Library
R00157,lunch was fresh and good bro,positive,Food,Hostel B
R01535,the program was normal bro in Main Gate,neutral,Events,Main Gate
R00836,library resources are useful asap,positive,Library,Campus
R00371,the hostel is too noisy at night asap in ECE Lab,negative,Hostel,Canteen
R00916,reading room is overcrowded asap in Library,negative,Library,Main Gate
R00564,the course material is helpful asap in Central Lab,positive,Academics,Central Lab
R00901,it is too noisy in the library,negative,Library,Hostel A
R01214,dustbins are overflowing asap,negative,Cleanliness,Main Gate
R00518,the evening shuttles packed,negative,Transport,Campus
R00334,hostel experience is normal pls fix in ECE Lab,neutral,Hostel,Central Lab
R00206,the menus manageable,neutral,Food,ECE Lab
R00561,the lecturer explains concepts clearly,positive,Academics,Campus
R00693,lab equipments working well,positive,Laboratory,Library
R00366,room maintenance is poor in Hostel B,negative,Hostel,ECE Lab
R00472,the shuttle usually arrives on time in Hostel B,neutral,Transport,B Block
R00454,transports average,neutral,Transport,Hostel B
R00799,the projector in the lab is broken in B Block,negative,Laboratory,B Block
R00551,the course material is helpful,positive,Academics,ECE Lab
R00550,faculty support is good bro,positive,Academics,ECE Lab
R00815,library resources are useful pls fix,positive,Library,Canteen
R00488,the shuttle usually arrives on time pls fix,neutral,Transport,Main Gate
R00349,room facilities are average pls fix,neutral,Hostel,C Block
R00953,campus infrastructure is improving in Central Lab,positive,Infrastructure,Main Gate
R00547,the course material is helpful pls fix,positive,Academics,Hostel A
R01569,event arrangements were manageable in Library,neutral,Events,Main Gate
R00004,campus internet is fast,positive,Wi-Fi,Central Lab
R00389,hostel rooms have leaking taps asap,negative,Hostel,Library
R00049,wifi is okay in my block,neutral,Wi-Fi,Main Gate
R00770,practical equipment needs maintenance,negative,Laboratory,Hostel A
R00200,dinner was neither good nor bad in Central Lab,neutral,Food,C Block
R01526,the program was enjoyable bro,positive,Events,Canteen
R01425,campus safety is average pls fix,neutral,Safety,Main Gate
R00845,there are enough study spaces bro,positive,Library,ECE Lab
R00710,lab equipment is working well pls fix in Library,positive,Laboratory,B Block
R00159,mess food quality has improved,positive,Food,Hostel A
R00350,hostel is okay bro,neutral,Hostel,B Block
R00925,reading room is overcrowded in C Block,negative,Library,Central Lab
R00810,there are not enough instruments bro,negative,Laboratory,ECE Lab
R01495,the program was enjoyable asap in Campus,positive,Events,A Block
R01560,event arrangements were manageable bro,neutral,Events,Hostel B
R00418,the shuttle service works well in Central Lab,positive,Transport,Campus
R00724,the lab session was normal,neutral,Laboratory,B Block
R01564,program was normal in A Block,neutral,Events,Canteen
R00142,food is tasty today pls fix,positive,Food,Hostel B
R00727,lab session was normal in ECE Lab,neutral,Laboratory,A Block
R00254,there is hardly any variety in Main Gate,negative,Food,Campus
R01403,lighting is acceptable pls fix,neutral,Safety,Hostel B
R00868,library facilities are normal pls fix,neutral,Library,Hostel B
R01268,the office response was average in C Block,neutral,Administration,Library
R00917,reading room is overcrowded,negative,Library,C Block
R01085,corridors are clean,positive,Cleanliness,Library
R00080,wifi works most of the time in Main Gate,neutral,Wi-Fi,A Block
R00686,the lab is properly maintained asap in Library,positive,Laboratory,B Block
R00947,campus facilities are well maintained,positive,Infrastructure,Canteen
R01534,event arrangements were manageable,neutral,Events,Central Lab
R01613,program started very late in C Block,negative,Events,Hostel B
R01444,there are not enough security staff bro,negative,Safety,B Block
R00650,the timetable has too many clashes asap,negative,Academics,B Block
R00055,internets available but average,neutral,Wi-Fi,Hostel A
R00154,lunch was fresh and good asap in ECE Lab,positive,Food,Canteen
R01380,campus feels safe asap in Canteen,positive,Safety,ECE Lab
R00732,some equipment is available in A Block,neutral,Laboratory,Main Gate
R00305,hostel room is clean in Canteen,positive,Hostel,A Block
R01378,security staff are helpful,positive,Safety,Library
R00989,campus facilities are well maintained in Campus,positive,Infrastructure,Hostel A
R01165,washrooms are okay in ECE Lab,neutral,Cleanliness,Main Gate
R01467,security response was slow asap,negative,Safety,Central Lab
R00704,practical sessions are useful pls fix in A Block,positive,Laboratory,Library
R00722,facilities are average in A Block,neutral,Laboratory,Central Lab
R00812,the reading room is comfortable bro in Central Lab,positive,Library,Library
R00426,college bus is punctual,positive,Transport,Canteen
R01218,administration resolved my request asap,positive,Administration,Library
R00151,mess food quality has improved in Central Lab,positive,Food,Campus
R01607,the program started very late pls fix in B Block,negative,Events,Library
R01150,campus is reasonably clean bro in Central Lab,neutral,Cleanliness,C Block
R01175,corridors are not cleaned regularly in Library,negative,Cleanliness,Main Gate
R00967,campus facilities are well maintained bro in ECE Lab,positive,Infrastructure,Hostel A
R01318,office staff are not responding,negative,Administration,Library
R00250,too much salt in food,negative,Food,ECE Lab
R00591,teachings average in B Block,neutral,Academics,B Block
R00665,the lecture pace is too fast bro,negative,Academics,C Block
R00257,mess food is very oily in Canteen,negative,Food,Hostel A
R00825,there are enough study spaces bro in B Block,positive,Library,B Block
R00226,mess food is too oily,negative,Food,Hostel B
R00477,transport is average pls fix in Library,neutral,Transport,Main Gate
R00062,internets available but average in Canteen,neutral,Wi-Fi,Hostel A
R00451,bus timing is okay in Main Gate,neutral,Transport,ECE Lab
R00287,hostel facilities are comfortable,positive,Hostel,Hostel A
R01236,staff responded clearly in B Block,positive,Administration,ECE Lab
R00435,transport service is convenient asap in ECE Lab,positive,Transport,Hostel A
R00296,water supply is good in Central Lab,positive,Hostel,Hostel A
R01178,washrooms are dirty asap,negative,Cleanliness,C Block
R00526,bus service is unreliable in B Block,negative,Transport,B Block
R00396,room maintenances poor in A Block,negative,Hostel,B Block
R00322,hostel is okay,neutral,Hostel,Main Gate
R00194,mess food is okay asap in Main Gate,neutral,Food,Main Gate
R01539,the event was okay pls fix,neutral,Events,ECE Lab
R01605,the program started very late bro in B Block,negative,Events,Hostel A
R01004,classroom facilities are average in Canteen,neutral,Infrastructure,Canteen
R00975,campus facilities are well maintained bro,positive,Infrastructure,Canteen
R01110,campus is clean in Campus,positive,Cleanliness,C Block
R00324,room facilities are average,neutral,Hostel,Campus
R01217,the process was quick,positive,Administration,Hostel B
R01508,the event arrangements were good in ECE Lab,positive,Events,ECE Lab
R00286,hostel room is clean,positive,Hostel,Campus
R00123,net is painfully slow in C Block,negative,Wi-Fi,Hostel A
R00407,transport service is convenient bro,positive,Transport,ECE Lab
R01129,cleanlinesss acceptable,neutral,Cleanliness,ECE Lab
R01486,the program was enjoyable in C Block,positive,Events,B Block
R00994,facilities are normal asap,neutral,Infrastructure,Library
R00778,lab equipment is not working in Hostel A,negative,Laboratory,A Block
R00011,network works smoothly in my block pls fix,positive,Wi-Fi,A Block
R00047,internet is available but average in Library,neutral,Wi-Fi,Main Gate
R00188,the menu is manageable,neutral,Food,ECE Lab
R00201,the menu is manageable asap,neutral,Food,ECE Lab
R00503,bus service is unreliable pls fix,negative,Transport,Campus
R00498,the evening shuttle is packed,negative,Transport,Hostel B
R00961,campus facilities are well maintained pls fix in C Block,positive,Infrastructure,Hostel B
R00927,library closes too early in Hostel B,negative,Library,A Block
R00421,buses are comfortable pls fix in Central Lab,positive,Transport,Hostel B
R00786,practical equipment needs maintenance in Canteen,negative,Laboratory,C Block
R00863,library facilities are normal,neutral,Library,A Block
R01083,washrooms are maintained well,positive,Cleanliness,Main Gate
R00608,the lecture was manageable in Library,neutral,Academics,Main Gate
R01078,there are damaged desks in Hostel A,negative,Infrastructure,Main Gate
R00856,books are available in Campus,neutral,Library,Main Gate
R00040,network works smoothly in my block asap,positive,Wi-Fi,ECE Lab
R01506,workshop was interesting,positive,Events,Hostel A
R00903,library has too few seats,negative,Library,Campus
R01130,campus is reasonably clean,neutral,Cleanliness,Main Gate
R01464,security response was slow bro,negative,Safety,B Block
R01152,cleaning is average asap in Library,neutral,Cleanliness,Hostel B
R00144,mess food quality has improved bro in A Block,positive,Food,Hostel B
R01189,dustbins are overflowing in C Block,negative,Cleanliness,ECE Lab
R01326,the approval process takes forever asap,negative,Administration,C Block
R00362,water supply keeps getting interrupted asap,negative,Hostel,A Block
R00906,it is too noisy in the library asap,negative,Library,Hostel B
R01358,lighting around campus is good asap,positive,Safety,Hostel B
R01082,corridors are clean pls fix in Canteen,positive,Cleanliness,Central Lab
R01096,campuss clean,positive,Cleanliness,Hostel A
R00597,teaching is average in Library,neutral,Academics,C Block
R01030,classroom facilities are average asap,neutral,Infrastructure,A Block
R00687,lab equipment is working well in Hostel B,positive,Laboratory,C Block
R00524,college bus is frequently late asap in Hostel B,negative,Transport,Hostel A
R01502,the program was enjoyable pls fix,positive,Events,Hostel A
R01278,the office response was average in Canteen,neutral,Administration,Canteen
R00468,transport is average bro,neutral,Transport,Hostel A
R01329,my requests still pending,negative,Administration,Main Gate
R00741,lab session was normal,neutral,Laboratory,Hostel A
R00196,dinner was neither good nor bad in B Block,neutral,Food,Main Gate
R01114,washrooms are maintained well in Hostel B,positive,Cleanliness,ECE Lab
R00300,hostel room is clean bro in Hostel B,positive,Hostel,Hostel B
R01580,there was not enough seating at the event asap,negative,Events,ECE Lab
R01497,the event arrangements were good asap in A Block,positive,Events,Central Lab
R00791,the projector in the lab is broken in Main Gate,negative,Laboratory,C Block
R01430,lighting is acceptable bro in Library,neutral,Safety,A Block
R00652,classes are frequently cancelled in Central Lab,negative,Academics,Hostel B
R00026,wifis stable today,positive,Wi-Fi,ECE Lab
R01308,my request is still pending pls fix,negative,Administration,ECE Lab
R01530,event was well organized,positive,Events,Campus
R00956,classrooms are comfortable,positive,Infrastructure,Campus
R01541,event arrangements were manageable in Hostel B,neutral,Events,B Block
R00752,lab facilities are okay in Hostel A,neutral,Laboratory,C Block
R01080,campus facilities are poorly maintained in Canteen,negative,Infrastructure,A Block
R01353,security arrangements are reassuring in Hostel B,positive,Safety,A Block
R01224,the process was quick bro,positive,Administration,Canteen
R01117,corridors are clean asap in C Block,positive,Cleanliness,Canteen
R00760,some equipment is available in C Block,neutral,Laboratory,Hostel B
R00236,foods often cold,negative,Food,B Block
R00267,dinner tastes bad lately in Hostel B,negative,Food,Hostel A
R00428,college bus is punctual asap,positive,Transport,Central Lab
R00769,the projector in the lab is broken,negative,Laboratory,ECE Lab
R01351,lighting around campus is good in B Block,positive,Safety,Central Lab
R00098,internet gets stuck whenever I try to upload bro,negative,Wi-Fi,Campus
R00586,the class was okay bro,neutral,Academics,ECE Lab
R00119,internet gets stuck whenever I try to upload asap,negative,Wi-Fi,Hostel A
R01443,the pathway feels unsafe at night,negative,Safety,C Block
R00066,wifi works most of time,neutral,Wi-Fi,B Block
R00627,the lecture was manageable in B Block,neutral,Academics,A Block
R00107,campus wifi is not working properly in Hostel A,negative,Wi-Fi,Campus
R00420,college bus is punctual in C Block,positive,Transport,C Block
R00642,the lecture pace is too fast pls fix in C Block,negative,Academics,Main Gate
R00659,the lecture pace is too fast pls fix in Canteen,negative,Academics,Main Gate
R00728,the lab session was normal pls fix in Hostel B,neutral,Laboratory,Canteen
R00369,the hostel is very noisy at night,negative,Hostel,Hostel B
R00329,hostel experience is normal bro,neutral,Hostel,Canteen
R01474,emergency facilities need improvement in Campus,negative,Safety,C Block
R00539,college bus is frequently late pls fix in C Block,negative,Transport,ECE Lab
R00388,room maintenance is poor bro in Main Gate,negative,Hostel,Library
R00567,the course material is helpful in B Block,positive,Academics,Central Lab
R01180,dustbins are overflowing,negative,Cleanliness,Campus
R01376,security arrangements are reassuring pls fix,positive,Safety,Central Lab
R00787,lab computers are too slow bro,negative,Laboratory,Hostel B
R00813,there are enough study spaces,positive,Library,Main Gate
R01609,event arrangements were poor pls fix in Campus,negative,Events,Central Lab
R00595,class was okay,neutral,Academics,A Block
R00223,mess food is okay in Campus,neutral,Food,Hostel B
R01256,administration resolved my request in Campus,positive,Administration,Library
R00185,food is average today bro,neutral,Food,B Block
R01186,the campus needs better cleaning in ECE Lab,negative,Cleanliness,Hostel A
R00501,college bus is frequently late asap,negative,Transport,Canteen
R00992,infrastructure is okay in Hostel B,neutral,Infrastructure,Central Lab
R00050,wifi is okay in my block pls fix in Central Lab,neutral,Wi-Fi,ECE Lab
R00121,network is terrible after evening pls fix in B Block,negative,Wi-Fi,Hostel B
R00279,water supply is good asap,positive,Hostel,A Block
R01293,request processing is normal asap in Hostel B,neutral,Administration,Canteen
R00180,food is tasty today in Central Lab,positive,Food,B Block
R00654,course material is outdated in B Block,negative,Academics,Hostel B
R01503,the event was well organized asap,positive,Events,A Block
R00393,the hostel is too noisy at night bro in B Block,negative,Hostel,Main Gate
R01445,the pathway feels unsafe at night bro,negative,Safety,Campus
R01222,administration resolved my request,positive,Administration,Canteen
R00504,bus service is unreliable,negative,Transport,Central Lab
R01501,the workshop was interesting in B Block,positive,Events,Hostel A
R01021,classroom facilities are average bro,neutral,Infrastructure,Campus
R01468,there are not enough security staff asap,negative,Safety,ECE Lab
R01170,campus is reasonably clean in B Block,neutral,Cleanliness,Central Lab
R00360,hostel is okay bro in C Block,neutral,Hostel,Hostel B
R00666,faculty is not explaining the topic clearly pls fix in Main Gate,negative,Academics,Hostel A
R01578,the program started very late pls fix in Library,negative,Events,Hostel B
R00934,reading room is overcrowded bro,negative,Library,Central Lab
R01246,process was quick in B Block,positive,Administration,B Block
R01344,my request is still pending,negative,Administration,Hostel B
R01029,facilities are normal in Canteen,neutral,Infrastructure,Campus
R00320,hostel experiences normal,neutral,Hostel,Library
R00361,hostel rooms have leaking taps in Library,negative,Hostel,B Block
R01044,the building needs maintenance,negative,Infrastructure,B Block
R01591,there was not enough seating at the event in Main Gate,negative,Events,Library
R01046,the building needs maintenance in A Block,negative,Infrastructure,C Block
R01235,staff responded clearly in Library,positive,Administration,Hostel B
R00610,teaching is average in ECE Lab,neutral,Academics,Hostel A
R01537,the program was normal,neutral,Events,Central Lab
R00636,faculty is not explaining topic clearly in ECE Lab,negative,Academics,B Block
R00888,study spaces average in Hostel A,neutral,Library,C Block
R01160,cleaning is average bro,neutral,Cleanliness,ECE Lab
R00430,the shuttle service works well bro,positive,Transport,A Block
R01014,campus buildings are manageable asap,neutral,Infrastructure,Canteen
R01220,office staff were helpful in Hostel B,positive,Administration,A Block
R00948,campus infrastructure is improving,positive,Infrastructure,C Block
R01402,security arrangements are normal pls fix in Canteen,neutral,Safety,A Block
R00991,infrastructure is okay in Main Gate,neutral,Infrastructure,A Block
R00699,lab instruments are available in ECE Lab,positive,Laboratory,Campus
R00370,water supply keeps getting interrupted bro in Hostel A,negative,Hostel,Library
R00087,network speed is normal today pls fix in Campus,neutral,Wi-Fi,Hostel A
R00983,classrooms are comfortable pls fix,positive,Infrastructure,Campus
R01582,there was not enough seating at the event bro,negative,Events,Campus
R00268,mess food is too oily asap in Hostel A,negative,Food,Campus
