feedback_id,feedback,sentiment,category,location,date
CP0031,"As a student, the bus route needs better scheduling. It happens quite often.",negative,Transport,Gandhipuram Route,2026-02-07
CP0618,The transport service was comfortable and punctual.,positive,Transport,Evening Shuttle,2026-06-08
CP0011,The library becomes noisy during peak hours.,negative,Library,Reference Section,2026-06-28
CP0222,The pathway near Sports Ground is poorly lit at night.,negative,Safety,Sports Ground,2026-03-05
CP0821,"As a student, the washrooms are usable but cleaning frequency could improve.",neutral,Cleanliness,ECE Block,2026-02-26
CP0297,"As a student, the classroom infrastructure is clean and comfortable.",positive,Infrastructure,ECE Block,2026-06-29
CP0055,The lectures move too fast and some concepts are difficult to follow. Hope this can be improved.,negative,Academics,Classroom,2026-01-15
CP0543,"Honestly, the bus timings are acceptable but could be more consistent.",neutral,Transport,Avinashi Route,2026-04-02
CP0210,The bus service is generally okay. This needs attention.,neutral,Transport,Main Gate,2026-03-28
CP0605,"Overall, there are not enough buses during peak hours.",negative,Transport,Hostel Route,2026-04-30
CP0693,"Most facilities are fine, although maintenance is needed in a few areas.",neutral,Infrastructure,Main Block,2026-05-30
CP0663,"Honestly, the library is useful but some books are difficult to find. Hope this can be improved.",neutral,Library,Central Library,2026-05-09
CP0867,The food was okay today.,neutral,Food,Hostel A,2026-06-22
CP0071,"Most areas are clean, although some corners need more attention.",neutral,Cleanliness,ECE Block,2026-01-30
CP0544,The washroom near Canteen needs more frequent cleaning.,negative,Cleanliness,Canteen,2026-03-29
CP0108,The campus area was clean today.,positive,Cleanliness,Canteen,2026-01-09
CP0494,"For our block, the course material is useful and easy to follow.",positive,Academics,Lecture Hall,2026-06-22
CP0591,The washrooms were clean and well maintained. Please look into it.,positive,Cleanliness,C Block,2026-02-24
CP0742,"In my experience, the evening bus is overcrowded.",negative,Transport,Evening Shuttle,2026-06-02
CP0293,"Overall, the laboratory equipment needs regular maintenance. Please look into it.",negative,Laboratory,Computer Lab,2026-02-01
CP0290,"In my experience, network connectivity in Hostel C becomes unusable after evening.",negative,Wi-Fi,Hostel C,2026-02-10
CP0653,"Honestly, the mess food was disappointing today. Hope this can be improved.",negative,Food,Hostel A,2026-04-22
CP0040,"Transport is available, although the evening route is sometimes delayed.",neutral,Transport,Main Gate,2026-05-14
CP0590,"Overall, internet connectivity in Hostel B has improved a lot.",positive,Wi-Fi,Hostel B,2026-01-18
CP0308,The network worked smoothly throughout the day in Library.,positive,Wi-Fi,Library,2026-04-10
CP0680,"Today, there are not enough buses during peak hours.",negative,Transport,Hostel Route,2026-03-18
CP0067,There are not enough buses during peak hours.,negative,Transport,Gandhipuram Route,2026-05-21
CP0276,"Today, the teaching pace is comfortable and interactive.",positive,Academics,Lecture Hall,2026-04-13
CP0068,"Honestly, the common areas are being maintained well.",positive,Hostel,Hostel A,2026-03-18
CP0319,The laboratory is well equipped for the practical sessions.,positive,Laboratory,ECE Lab,2026-06-17
CP0549,"In my experience, the Wi-Fi in Library works most of the time.",neutral,Wi-Fi,Library,2026-03-06
CP0999,the washrooms are usable but cleaning frequency could improve.,neutral,Cleanliness,C Block,2026-05-21
CP0715,The hostel rooms are clean and comfortable.,positive,Hostel,Girls Hostel,2026-03-12
CP0754,the room fan is not working properly.,negative,Hostel,Hostel A,2026-04-15
CP0328,The mess food was disappointing today. It happens quite often.,negative,Food,Night Mess,2026-04-18
CP0383,The college bus is often late after 5 PM.,negative,Transport,Avinashi Route,2026-06-08
CP0452,"Honestly, important topics are being covered too quickly.",negative,Academics,ECE Department,2026-02-17
CP0523,the office staff handled my request quickly.,positive,Administration,Admission Office,2026-06-11
CP0219,The lab sessions are useful and the instruments are accessible.,positive,Laboratory,ECE Lab,2026-04-21
CP0788,The food at the mess was tasty today.,positive,Food,Hostel C,2026-06-28
CP0437,Several lights and fans need repair. Please look into it.,negative,Infrastructure,ECE Block,2026-02-01
CP0765,There is not enough variety in the hostel menu.,negative,Food,Night Mess,2026-01-13
CP0089,There is not enough variety in the hostel menu.,negative,Food,Night Mess,2026-06-12
CP0064,The college bus is often late after 5 PM.,negative,Transport,Avinashi Route,2026-03-02
CP0827,The network worked smoothly throughout the day in Library.,positive,Wi-Fi,Library,2026-04-10
CP0717,The classroom projector is not working properly.,negative,Infrastructure,C Block,2026-05-14
CP0352,The laboratory equipment needs regular maintenance. It happens quite often.,negative,Laboratory,Computer Lab,2026-01-10
CP0937,the administrative process takes too long.,negative,Administration,Department Office,2026-05-13
CP0257,The library becomes noisy during peak hours.,negative,Library,Reference Section,2026-01-12
CP0636,The lab sessions are useful and the instruments are accessible.,positive,Laboratory,Communication Lab,2026-02-23
CP0645,"Honestly, lunch quality was good & the menu had enough variety.",positive,Food,Main Mess,2026-02-19
CP0555,The administrative process is manageable but takes some time.,neutral,Administration,Academic Office,2026-05-17
CP0960,The campus feels safe and security staff are visible.,positive,Safety,Sports Ground,2026-01-31
CP0169,The administrative process takes too long.,negative,Administration,Admission Office,2026-02-27
CP0918,Food quality is generally acceptable but inconsistent.,neutral,Food,Hostel A,2026-02-11
CP0529,The library has a good collection of useful books.,positive,Library,Central Library,2026-04-10
CP0824,"Today, there is not enough variety in the hostel menu.",negative,Food,Hostel C,2026-05-08
CP0986,"In my experience, the recent campus event was engaging and well managed.",positive,Events,Seminar Hall,2026-05-01
CP0817,"As a student, the corridor was not cleaned properly today.",negative,Cleanliness,C Block,2026-06-12
CP0087,The library becomes noisy during peak hours. This needs attention.,negative,Library,Digital Library,2026-01-30
CP0433,Dustbins are overflowing near Main Gate.,negative,Cleanliness,Main Gate,2026-05-02
CP0185,"The room is usable, although maintenance takes some time.",neutral,Hostel,Girls Hostel,2026-05-21
CP0979,The washrooms were clean and well maintained.,positive,Cleanliness,ECE Block,2026-02-03
CP0535,The teaching pace is comfortable and interactive. Hope this can be improved.,positive,Academics,Lecture Hall,2026-03-18
CP0295,The mess food was fresh and well prepared. Hope this can be improved.,positive,Food,Hostel C,2026-04-16
CP0893,The transport service was comfortable and punctual.,positive,Transport,Gandhipuram Route,2026-04-24
CP0426,"For our block, it is difficult to get a clear response from the office.",negative,Administration,Academic Office,2026-01-27
CP0714,"Honestly, the new classroom facilities are a clear improvement.",positive,Infrastructure,Seminar Hall,2026-06-27
CP0261,"For our block, the bus route worked smoothly today.",positive,Transport,Evening Shuttle,2026-02-26
CP0238,"Honestly, the course is manageable, although some topics need more examples.",neutral,Academics,ECE Department,2026-02-08
CP0560,The lectures move too fast and some concepts are difficult to follow.,negative,Academics,ECE Department,2026-02-18
CP0584,The lectures are clear & the faculty explain concepts well.,positive,Academics,Classroom,2026-01-30
CP0446,The event was useful although some sessions started late.,neutral,Events,Seminar Hall,2026-06-27
CP0868,The network worked smoothly throughout the day in C Block. This needs attention.,positive,Wi-Fi,C Block,2026-05-18
CP0801,"For our block, most facilities are fine, although maintenance is needed in a few areas.",neutral,Infrastructure,C Block,2026-03-22
CP0600,The Wi-Fi in Hostel B works most of the time.,neutral,Wi-Fi,Hostel B,2026-02-09
CP0850,The course material is useful and easy to follow.,positive,Academics,ECE Department,2026-03-26
CP0266,The event schedule was poorly coordinated.,negative,Events,Seminar Hall,2026-03-28
CP0996,hostel services are average at the moment.,neutral,Hostel,Hostel A,2026-04-30
CP0530,Several lights and fans need repair. Hope this can be improved.,negative,Infrastructure,Main Block,2026-04-28
CP0056,Wi-Fi in ECE Block is very slow. It happens quite often.,negative,Wi-Fi,ECE Block,2026-07-03
CP0121,Hostel services are average at the moment.,neutral,Hostel,Hostel C,2026-01-25
CP0216,the washrooms were clean and well maintained. Please look into it.,positive,Cleanliness,Canteen,2026-05-07
CP0026,"In my experience, there is not enough variety in the hostel menu. This needs attention.",negative,Food,Hostel B,2026-05-18
CP0073,"As a student, the teaching pace is comfortable and interactive.",positive,Academics,Mechanical Block,2026-06-14
CP0045,The network worked smoothly throughout the day in Hostel C. It happens quite often.,positive,Wi-Fi,Hostel C,2026-04-13
CP0248,The lab equipment was working properly today.,positive,Laboratory,Computer Lab,2026-03-22
CP0722,The building facilities are generally well maintained.,positive,Infrastructure,C Block,2026-04-26
CP0282,"Today, the mess food was fresh and well prepared.",positive,Food,Hostel B,2026-02-16
CP0894,"As a student, the college bus is often late after 5 PM. Hope this can be improved.",negative,Transport,Evening Shuttle,2026-02-24
CP0915,The library is useful but some books are difficult to find.,neutral,Library,Central Library,2026-06-14
CP0811,"Honestly, the food at the mess was tasty today.",positive,Food,Hostel A,2026-02-16
CP0245,The mess food was fresh and well prepared. This needs attention.,positive,Food,Hostel B,2026-03-30
CP0823,"Honestly, the room fan is not working properly.",negative,Hostel,Hostel B,2026-05-08
CP0322,There was not enough information about the event timings.,negative,Events,Auditorium,2026-04-14
CP0644,Security presence is limited near Back Gate after evening.,negative,Safety,Back Gate,2026-05-01
CP0159,the campus feels reasonably safe.,neutral,Safety,Back Gate,2026-03-09
CP0978,The food was too oily and not fresh.,negative,Food,Main Mess,2026-01-13
CP0430,The mess food was disappointing today.,negative,Food,Main Mess,2026-01-28
CP0942,The library is quiet and comfortable for studying.,positive,Library,Central Library,2026-05-25
CP0463,Some required books are unavailable in the library. It happens quite often.,negative,Library,Reference Section,2026-02-27
CP0310,The emergency contact information is easy to find.,positive,Safety,Sports Ground,2026-04-11
CP0698,"Overall, hostel facilities are okay but some areas need attention.",neutral,Hostel,Boys Hostel,2026-05-11
CP0061,Important topics are being covered too quickly.,negative,Academics,Lecture Hall,2026-01-27
CP0885,"Overall, there are not enough buses during peak hours.",negative,Transport,Main Gate,2026-03-24
CP0596,The transport service was comfortable and punctual. It happens quite often.,positive,Transport,Evening Shuttle,2026-03-09
CP0768,"Most facilities are fine, although maintenance is needed in a few areas.",neutral,Infrastructure,Seminar Hall,2026-03-30
CP0650,The common area is often left dirty after lunch.,negative,Cleanliness,Main Gate,2026-04-11
CP0651,"In my experience, my request has been pending for several days. Hope this can be improved.",negative,Administration,Admission Office,2026-06-14
CP0866,"Today, the emergency contact information is not easy to find.",negative,Safety,Parking Area,2026-02-15
CP0669,The lectures are clear and the faculty explain concepts well.,positive,Academics,Lecture Hall,2026-03-07
CP0299,"In my experience, the lab equipment was working properly today.",positive,Laboratory,Computer Lab,2026-04-24
CP0690,The college bus is often late after 5 PM.,negative,Transport,Hostel Route,2026-01-06
CP0315,It is difficult to get a clear response from the office.,negative,Administration,Accounts Office,2026-01-23
CP0311,more practical examples are needed in this subject.,negative,Academics,Mechanical Block,2026-05-30
CP0362,"For our block, the classroom projector is not working properly. Please look into it.",negative,Infrastructure,ECE Block,2026-04-27
CP0480,"The process is clear, although waiting time varies. It happens quite often.",neutral,Administration,Department Office,2026-03-18
CP0111,Wi-Fi is not working properly near Hostel C.,negative,Wi-Fi,Hostel C,2026-06-09
CP0990,"Overall, the room fan is not working properly.",negative,Hostel,Girls Hostel,2026-04-20
CP0487,"Overall, the classroom projector is not working properly.",negative,Infrastructure,Classroom C204,2026-01-17
CP0364,"For our block, the hostel food quality has gone down recently.",negative,Food,Main Mess,2026-06-01
CP0255,"For our block, the administrative process was clear and easy.",positive,Administration,Department Office,2026-02-16
CP0260,The mess food was disappointing today. Hope this can be improved.,negative,Food,Hostel B,2026-02-04
CP0803,The food was okay today. This needs attention.,neutral,Food,Hostel A,2026-03-01
CP0678,The pathway near Parking Area is poorly lit at night. Please look into it.,negative,Safety,Parking Area,2026-01-27
CP0495,The laboratory equipment needs regular maintenance.,negative,Laboratory,ECE Lab,2026-01-30
CP0671,"As a student, the library has a good collection of useful books.",positive,Library,Reference Section,2026-04-27
CP0378,"Overall, hostel services are average at the moment.",neutral,Hostel,Hostel C,2026-06-26
CP0527,"In my experience, the lab is usable but additional components would help. Hope this can be improved.",neutral,Laboratory,Computer Lab,2026-03-30
CP0846,"As a student, several lights and fans need repair.",negative,Infrastructure,ECE Block,2026-01-12
CP0138,"Overall, the common areas are being cleaned regularly.",positive,Cleanliness,ECE Block,2026-02-23
CP0356,dustbins are overflowing near C Block.,negative,Cleanliness,C Block,2026-02-25
CP0366,"Honestly, the pathway near Parking Area is poorly lit at night.",negative,Safety,Parking Area,2026-05-10
CP0943,"Overall, the mess menu is average and could have more variety. Hope this can be improved.",neutral,Food,Main Mess,2026-05-02
CP0750,"Honestly, the network worked smoothly throughout the day in Hostel C. It happens quite often.",positive,Wi-Fi,Hostel C,2026-04-04
CP0949,"Today, the mess food was fresh and well prepared. Please look into it.",positive,Food,Hostel A,2026-04-12
CP0830,The building facilities are generally well maintained. Please look into it.,positive,Infrastructure,Main Block,2026-03-11
CP0657,"In my experience, there was not enough information about the event timings.",negative,Events,Auditorium,2026-06-20
CP0200,"In my experience, the room is usable, although maintenance takes some time.",neutral,Hostel,Girls Hostel,2026-03-09
CP0214,"The network in Hostel C is available, although performance changes at peak hours.",neutral,Wi-Fi,Hostel C,2026-04-30
CP0409,The food at the mess was tasty today.,positive,Food,Hostel B,2026-01-16
CP0333,"Today, the hostel rooms are clean and comfortable. Hope this can be improved.",positive,Hostel,Hostel B,2026-05-14
CP0209,"In my experience, the bus route worked smoothly today.",positive,Transport,Main Gate,2026-04-27
CP0614,Hostel facilities are okay but some areas need attention.,neutral,Hostel,Girls Hostel,2026-05-02
CP0079,the program was average and could use better coordination.,neutral,Events,Main Ground,2026-05-16
CP0030,more practical examples are needed in this subject.,negative,Academics,ECE Department,2026-04-02
CP0536,The administrative process was clear and easy.,positive,Administration,Academic Office,2026-06-26
CP0696,The teaching is okay but more practical sessions would help.,neutral,Academics,Classroom,2026-04-09
CP0558,"As a student, the teaching pace is comfortable and interactive.",positive,Academics,Lecture Hall,2026-06-22
CP0837,hostel maintenance has improved recently.,positive,Hostel,Hostel A,2026-01-30
CP0597,The bus service is generally okay.,neutral,Transport,Evening Shuttle,2026-01-16
CP0166,The room fan is not working properly.,negative,Hostel,Hostel B,2026-02-15
CP0919,There are not enough working components for every student.,negative,Laboratory,Embedded Lab,2026-03-03
CP0496,"Honestly, the lab is usable but additional components would help.",neutral,Laboratory,Communication Lab,2026-03-09
CP0825,Wi-Fi in Hostel C is very slow.,negative,Wi-Fi,Hostel C,2026-03-11
CP0066,"Honestly, the classroom infrastructure is clean and comfortable.",positive,Infrastructure,Main Block,2026-02-23
CP0142,The bus timings are acceptable but could be more consistent. It happens quite often.,neutral,Transport,Evening Shuttle,2026-02-25
CP0926,the washroom near Canteen needs more frequent cleaning.,negative,Cleanliness,Canteen,2026-02-02
CP0828,The library facilities are adequate.,neutral,Library,Central Library,2026-04-26
CP0656,"Overall, transport is available, although the evening route is sometimes delayed. This needs attention.",neutral,Transport,Main Gate,2026-01-28
CP0332,"For our block, the corridor was not cleaned properly today.",negative,Cleanliness,C Block,2026-01-12
CP0665,"For our block, the food was okay today.",neutral,Food,Hostel B,2026-05-19
CP0250,The washrooms were clean and well maintained.,positive,Cleanliness,Canteen,2026-06-17
CP0908,"Overall, the pathway near Parking Area is poorly lit at night.",negative,Safety,Parking Area,2026-05-25
CP0709,There are not enough seats in the library during exam time.,negative,Library,Reading Hall,2026-05-09
CP0306,Several instruments are unavailable during practical sessions. It happens quite often.,negative,Laboratory,Communication Lab,2026-01-19
CP0735,the building facilities are generally well maintained.,positive,Infrastructure,ECE Block,2026-01-15
CP0976,The bus route worked smoothly today.,positive,Transport,Hostel Route,2026-06-04
CP0050,Lunch quality was good and the menu had enough variety.,positive,Food,Hostel B,2026-01-20
CP0897,The bus service is generally okay.,neutral,Transport,Avinashi Route,2026-04-04
CP0003,"As a student, hostel maintenance complaints take too long to get resolved.",negative,Hostel,Hostel C,2026-03-13
CP0545,"Today, the campus area was clean today.",positive,Cleanliness,ECE Block,2026-03-29
CP0351,The mess food was disappointing today.,negative,Food,Hostel C,2026-02-08
CP0905,Lunch quality was good & the menu had enough variety.,positive,Food,Night Mess,2026-05-31
CP0537,"Honestly, the Wi-Fi in C Block is fast and reliable today.",positive,Wi-Fi,C Block,2026-04-29
CP0345,The classroom projector is not working properly.,negative,Infrastructure,Seminar Hall,2026-05-13
CP0995,"Overall, the library becomes noisy during peak hours.",negative,Library,Digital Library,2026-01-31
CP0482,"Today, the corridor was not cleaned properly today.",negative,Cleanliness,Main Gate,2026-03-05
CP0576,The projector in the lab is not working.,negative,Laboratory,Computer Lab,2026-05-02
CP0034,"As a student, the lab sessions are useful and the instruments are accessible.",positive,Laboratory,Embedded Lab,2026-03-06
CP0032,Security presence is limited near Parking Area after evening.,negative,Safety,Parking Area,2026-02-12
CP0232,The bus route needs better scheduling.,negative,Transport,Gandhipuram Route,2026-03-04
CP0964,the library becomes noisy during peak hours. Hope this can be improved.,negative,Library,Central Library,2026-03-27
CP0193,"For our block, wi-Fi is not working properly near Hostel C.",negative,Wi-Fi,Hostel C,2026-05-30
CP0334,"Today, there are not enough seats in the library during exam time.",negative,Library,Central Library,2026-04-04
CP0004,Wi-Fi in Library is very slow.,negative,Wi-Fi,Library,2026-04-07
CP0205,The classroom infrastructure is clean and comfortable.,positive,Infrastructure,Seminar Hall,2026-04-12
CP0515,The college bus arrived on time today.,positive,Transport,Gandhipuram Route,2026-03-06
CP0800,"Today, the transport service was comfortable and punctual.",positive,Transport,Hostel Route,2026-05-10
CP0307,"In my experience, the bus route needs better scheduling. Please look into it.",negative,Transport,Main Gate,2026-03-28
CP0110,The classroom facilities are acceptable.,neutral,Infrastructure,Classroom C204,2026-01-12
CP0431,"As a student, the common areas are being cleaned regularly. This needs attention.",positive,Cleanliness,Main Gate,2026-01-06
CP0078,There are not enough seats in the library during exam time.,negative,Library,Reference Section,2026-04-20
CP0085,Important topics are being covered too quickly.,negative,Academics,Lecture Hall,2026-04-11
CP0287,"In my experience, the corridor was not cleaned properly today.",negative,Cleanliness,C Block,2026-03-18
CP0083,The recent campus event was engaging and well managed.,positive,Events,Seminar Hall,2026-06-07
CP0992,"In my experience, the bus route worked smoothly today.",positive,Transport,Gandhipuram Route,2026-07-01
CP0790,Important topics are being covered too quickly.,negative,Academics,Classroom,2026-02-12
CP0895,"As a student, several lights and fans need repair.",negative,Infrastructure,C Block,2026-01-14
CP0399,The common areas are being maintained well. Please look into it.,positive,Hostel,Hostel B,2026-05-25
CP0324,"As a student, the corridor was not cleaned properly today.",negative,Cleanliness,Main Gate,2026-02-23
CP0520,The food at the mess was tasty today. This needs attention.,positive,Food,Hostel B,2026-01-19
CP0917,The classroom furniture is damaged and uncomfortable. This needs attention.,negative,Infrastructure,Main Block,2026-01-16
CP0923,"Today, the library is useful but some books are difficult to find.",neutral,Library,Reference Section,2026-02-20
CP0006,"Honestly, the lectures are understandable but the pace varies.",neutral,Academics,Mechanical Block,2026-06-16
CP0732,The food at the mess was tasty today.,positive,Food,Main Mess,2026-05-17
CP0466,Wi-Fi is not working properly near Library.,negative,Wi-Fi,Library,2026-04-01
CP0098,Hostel maintenance has improved recently.,positive,Hostel,Girls Hostel,2026-05-08
CP0267,The lectures are underst&able but the pace varies.,neutral,Academics,Lecture Hall,2026-01-30
CP0358,The emergency contact information is easy to find.,positive,Safety,Hostel Road,2026-03-11
CP0869,Several instruments are unavailable during practical sessions.,negative,Laboratory,Communication Lab,2026-03-01
CP0799,Some required books are unavailable in the library.,negative,Library,Reference Section,2026-03-16
CP0381,The food was too oily and not fresh.,negative,Food,Night Mess,2026-03-19
CP0632,"Overall, hostel maintenance complaints take too long to get resolved.",negative,Hostel,Girls Hostel,2026-03-04
CP0382,"As a student, the venue was overcrowded during the event.",negative,Events,Main Ground,2026-03-10
CP0491,"Overall, the office staff handled my request quickly.",positive,Administration,Academic Office,2026-02-11
CP0119,"For our block, the campus area was clean today.",positive,Cleanliness,Hostel,2026-02-10
CP0901,The internet keeps disconnecting in ECE Block.,negative,Wi-Fi,ECE Block,2026-05-06
CP0251,Security arrangements are adequate during the day. This needs attention.,neutral,Safety,Hostel Road,2026-03-17
CP0524,The library facilities are adequate.,neutral,Library,Reading Hall,2026-01-22
CP0010,"The reading space is fine, although seating is limited at peak times.",neutral,Library,Digital Library,2026-06-28
CP0197,"Honestly, security arrangements around the block are good. It happens quite often.",positive,Safety,Parking Area,2026-03-23
CP0604,"Overall, the corridor was not cleaned properly today.",negative,Cleanliness,Main Gate,2026-07-03
CP0082,"As a student, the course is manageable, although some topics need more examples.",neutral,Academics,Lecture Hall,2026-05-12
CP0784,It is difficult to get a clear response from the office.,negative,Administration,Accounts Office,2026-04-11
CP0588,The college bus arrived on time today.,positive,Transport,Evening Shuttle,2026-06-14
CP0798,Lunch quality was good and the menu had enough variety.,positive,Food,Main Mess,2026-03-25
CP0240,The staff were helpful when resolving my request. Hope this can be improved.,positive,Administration,Admission Office,2026-07-01
CP0291,The event was well organized and informative.,positive,Events,Auditorium,2026-01-26
CP0212,"Overall, security presence is limited near Sports Ground after evening.",negative,Safety,Sports Ground,2026-04-21
CP0718,The food at the mess was tasty today. Hope this can be improved.,positive,Food,Hostel A,2026-01-30
CP0360,The laboratory is adequate but some equipment is shared.,neutral,Laboratory,ECE Lab,2026-04-06
CP0450,"As a student, the venue was overcrowded during the event. Please look into it.",negative,Events,Main Ground,2026-01-25
CP0228,The pathway near Sports Ground is poorly lit at night.,negative,Safety,Sports Ground,2026-05-30
CP0951,"Today, more practical examples are needed in this subject. It happens quite often.",negative,Academics,ECE Department,2026-03-12
CP0947,"Today, the mess food was fresh and well prepared.",positive,Food,Main Mess,2026-02-20
CP0797,The college bus arrived on time today.,positive,Transport,Evening Shuttle,2026-02-14
CP0502,"Overall, the common areas are being maintained well.",positive,Hostel,Hostel B,2026-06-17
CP0465,"Today, the projector in the lab is not working.",negative,Laboratory,Embedded Lab,2026-03-08
CP0363,The hostel room has a maintenance issue that has not been fixed.,negative,Hostel,Hostel C,2026-05-09
CP0469,The campus area was clean today.,positive,Cleanliness,ECE Block,2026-06-07
CP0936,The office staff handled my request quickly.,positive,Administration,Admission Office,2026-01-16
CP0429,The bus route worked smoothly today. Please look into it.,positive,Transport,Evening Shuttle,2026-02-14
CP0008,"Honestly, the bus route needs better scheduling.",negative,Transport,Gandhipuram Route,2026-05-12
CP0156,"For our block, hostel facilities are okay but some areas need attention. It happens quite often.",neutral,Hostel,Hostel C,2026-04-04
CP0542,The washrooms were clean and well maintained. Hope this can be improved.,positive,Cleanliness,C Block,2026-06-12
CP0441,The library closing time is too early for students. This needs attention.,negative,Library,Reading Hall,2026-04-02
CP0483,Important topics are being covered too quickly.,negative,Academics,ECE Department,2026-06-30
CP0423,The library facilities are adequate. This needs attention.,neutral,Library,Digital Library,2026-06-28
CP0779,There are not enough working components for every student. Please look into it.,negative,Laboratory,Communication Lab,2026-05-21
