id,task_type,original_id,text,output
AOC_120,AOC,2_13440_114,"This course has been reworked as of Fall 2021 so while the past years reviews make this course seem very scary and difficult, it has been reworked and is much more manageable as a technical elective. I did the blended version of this course so the labs( which were online) are likely going to change in person, but the expectations were very reasonable. This course is definitely not a bird course but if you are interested in robotics it is very interesting and useful!","[{'aspect': 'This course', 'category': 'Course - Difficulty', 'opinion': 'much more manageable'}
 {'aspect': 'expectations', 'category': 'Course - Overall', 'opinion': 'very reasonable'}
 {'aspect': 'course', 'category': 'Course - Overall', 'opinion': 'very interesting and useful'}
 {'aspect': 'course', 'category': 'Course - Difficulty', 'opinion': 'not a bird course'}]"
AOC_121,AOC,1_203_2660_15104,"I loved this professor. He was very helpful, and he is very intelligent; he was my favorite teacher so far. I was alwaysexcited to go to his class. If he ever teaches another class , I will take it. He is the BEST.","[{'aspect': 'professor', 'category': 'Staff - Overall', 'opinion': 'loved'}
 {'aspect': 'professor', 'category': 'Staff - Overall', 'opinion': 'If he ever teaches another class , I will take it'}
 {'aspect': 'professor', 'category': 'Staff - Helpfulness', 'opinion': 'very helpful'}
 {'aspect': 'professor', 'category': 'Staff - Personal traits', 'opinion': 'very intelligent'}
 {'aspect': 'professor', 'category': 'Staff - Overall', 'opinion': 'my favorite teacher'}
 {'aspect': 'his class', 'category': 'Course - Overall', 'opinion': 'alwaysexcited to go'}
 {'aspect': 'professor', 'category': 'Staff - Overall', 'opinion': 'the BEST'}]"
AOC_122,AOC,1_83_2357_14580,"She is an awesome teacher. I took her class online. She was very helpful. She responds to email quickly. If you read what is required, you should pass the quizzes. One of the best EDUC teachers at GPC.","[{'aspect': 'teacher', 'category': 'Staff - Overall', 'opinion': 'awesome'}
 {'aspect': 'teacher', 'category': 'Staff - Overall', 'opinion': 'One of the best EDUC teachers'}
 {'aspect': 'teacher', 'category': 'Staff - Helpfulness', 'opinion': 'very helpful'}
 {'aspect': 'teacher', 'category': 'Staff - Attitude', 'opinion': 'responds to email quickly'}]"
AOC_123,AOC,1_65_928_18705,Gives lot of extra credit.,"[{'aspect': 'extra credit', 'category': 'Staff - Teaching', 'opinion': 'Gives lot of'}]"
AOC_124,AOC,1_206_1549_8554,Great teacher. Lots of real world experience and fun to be in class with. Makes everything understandable and simple conceptually. If you do well in her classes she will readily write recommendations on your behalf as well.,"[{'aspect': 'teacher', 'category': 'Staff - Overall', 'opinion': 'Great'}
 {'aspect': 'teacher', 'category': 'Staff - Overall', 'opinion': 'fun to be in class with'}
 {'aspect': 'real world experience', 'category': 'Staff - Knowledge & skills', 'opinion': 'Lots of'}
 {'aspect': 'teacher', 'category': 'Staff - Personal traits', 'opinion': 'fun to be in class with'}
 {'aspect': 'teacher', 'category': 'Staff - Teaching', 'opinion': 'Makes everything understandable and simple conceptually'}
 {'aspect': 'teacher', 'category': 'Staff - Attitude', 'opinion': 'will readily write recommendations on your behalf'}]"
AOC_125,AOC,1_3_1572_1266,Talked down to students,"[{'aspect': 'null', 'category': 'Staff - Attitude', 'opinion': 'Talked down to students'}]"
AOC_126,AOC,1_89_762_6955,I never thought I would enjoy my freshman comp class but I loved Dr. Nelson's Writing Studies I last semester. He was very clear and chose interesting topics to write on and gave excellent feedback. The conferences were especially useful. Because of Dr. Nelson I am now a confident writer. Unfortunately he does not teaching Writing Studies II.,"[{'aspect': ""Dr. Nelson's Writing Studies I"", 'category': 'Course - Overall', 'opinion': 'loved'}
 {'aspect': 'Dr. Nelson', 'category': 'Staff - Teaching', 'opinion': 'very clear'}
 {'aspect': 'Dr. Nelson', 'category': 'Staff - Teaching', 'opinion': 'chose interesting topics to write on'}
 {'aspect': 'Dr. Nelson', 'category': 'Staff - Teaching', 'opinion': 'gave excellent feedback'}
 {'aspect': 'conferences', 'category': 'Course - Learning activity', 'opinion': 'especially useful'}
 {'aspect': 'Dr. Nelson', 'category': 'Staff - Overall', 'opinion': 'Unfortunately he does not teaching Writing Studies II'}]"
AOC_127,AOC,2_1129_375,Relatively easy material. Very basic computing.,"[{'aspect': 'material', 'category': 'Course - Difficulty', 'opinion': 'Relatively easy'}
 {'aspect': 'computing', 'category': 'Course - Content', 'opinion': 'Very basic'}]"
AOC_128,AOC,1_89_1811_4676,"Great teacher, Helped me care about something that has to do little with my major. She is fun and made the 3 hour block seem like it was nothing! Take her if you can","[{'aspect': 'teacher', 'category': 'Staff - Overall', 'opinion': 'Great'}
 {'aspect': 'teacher', 'category': 'Staff - Overall', 'opinion': 'Take her if you can'}
 {'aspect': 'teacher', 'category': 'Staff - Teaching', 'opinion': 'Helped me care about something that has to do little with my major'}
 {'aspect': 'teacher', 'category': 'Staff - Personal traits', 'opinion': 'fun'}
 {'aspect': 'teacher', 'category': 'Staff - Teaching', 'opinion': 'made the 3 hour block seem like it was nothing'}]"
AOC_129,AOC,1_37_1503_13512,"Loved Kimble, she's really nice and extremely helpful. Grades are fair and her quizzes are pretty average in terms of difficulty. Take her if you can, best lab prof I had.","[{'aspect': 'Kimble', 'category': 'Staff - Overall', 'opinion': 'Loved'}
 {'aspect': 'Kimble', 'category': 'Staff - Overall', 'opinion': 'Take her if you can'}
 {'aspect': 'Kimble', 'category': 'Staff - Attitude', 'opinion': 'really nice'}
 {'aspect': 'Kimble', 'category': 'Staff - Helpfulness', 'opinion': 'extremely helpful'}
 {'aspect': 'Grades', 'category': 'Staff - Teaching', 'opinion': 'fair'}
 {'aspect': 'her quizzes', 'category': 'Course - Difficulty', 'opinion': 'pretty average in terms of difficulty'}
 {'aspect': 'Kimble', 'category': 'Staff - Overall', 'opinion': 'best lab prof I had'}]"
AOC_130,AOC,2_8622_1030,"This course is more interesting than 102 and much more interesting than 201. I just find that I like macro better than micro because I find it more relatable. Compared to 102, this course is more in-depth, and focuses on the applications instead of the theory. I am really liking this course so far!","[{'aspect': 'This course', 'category': 'Course - Overall', 'opinion': 'much more interesting than 201'}
 {'aspect': 'This course', 'category': 'Course - Overall', 'opinion': 'more interesting than 102'}
 {'aspect': 'macro', 'category': 'Course - Content', 'opinion': 'more relatable'}
 {'aspect': 'this course', 'category': 'Course - Content', 'opinion': 'focuses on the applications instead of the theory'}
 {'aspect': 'this course', 'category': 'Course - Content', 'opinion': 'more in-depth'}
 {'aspect': 'this course', 'category': 'Course - Overall', 'opinion': 'really liking'}]"
AOC_131,AOC,1_172_1472_11212,"I found this to be the hardest advanced math course. The weekly assignments took a lot of time to do. It was hard to keep up with the material, and getting good marks required a lot of work. On the other hand, I really enjoyed the course- this is one of the courses that taught me the most in UW so far. Well Done.","[{'aspect': 'advanced math course', 'category': 'Course - Difficulty', 'opinion': 'hardest'}
 {'aspect': 'weekly assignments', 'category': 'Course - Workload', 'opinion': 'took a lot of time to do'}
 {'aspect': 'material', 'category': 'Course - Course materials', 'opinion': 'hard to keep up with'}
 {'aspect': 'good marks', 'category': 'Course - Difficulty', 'opinion': 'required a lot of work'}
 {'aspect': 'course', 'category': 'Course - Overall', 'opinion': 'really enjoyed'}
 {'aspect': 'course', 'category': 'Course - Overall', 'opinion': 'one of the courses that taught me the most in UW'}
 {'aspect': 'null', 'category': 'Course - Overall', 'opinion': 'Well Done'}]"
AOC_132,AOC,1_107_717_12544,"If you are serious about learning Russian please take this class. Otherwise don't come near this patient, understanding, and hard-working woman. She is just personally GREAT- in need of great praise and reward. If you come to every class and study somewhat even if you have a hard time she'll cut you a little slack because she appreciates effort.","[{'aspect': 'woman', 'category': 'Staff - Attitude', 'opinion': 'patient'}
 {'aspect': 'woman', 'category': 'Staff - Attitude', 'opinion': 'understanding'}
 {'aspect': 'woman', 'category': 'Staff - Personal traits', 'opinion': 'hard-working'}
 {'aspect': 'woman', 'category': 'Staff - Attitude', 'opinion': ""she'll cut you a little slack""}
 {'aspect': 'woman', 'category': 'Staff - Overall', 'opinion': 'personally GREAT-'}
 {'aspect': 'woman', 'category': 'Staff - Overall', 'opinion': 'in need of great praise and reward'}
 {'aspect': 'woman', 'category': 'Staff - Attitude', 'opinion': 'appreciates effort'}]"
AOC_133,AOC,1_105_1904_8930,Awesome teacher! The most fun I've had in a college class. He's really helpful and an all around cool guy. Def recommend his class!,"[{'aspect': 'teacher', 'category': 'Staff - Overall', 'opinion': 'Awesome'}
 {'aspect': 'teacher', 'category': 'Staff - Personal traits', 'opinion': 'an all around cool guy'}
 {'aspect': 'his class', 'category': 'Course - Overall', 'opinion': ""The most fun I've had in a college class""}
 {'aspect': 'teacher', 'category': 'Staff - Helpfulness', 'opinion': 'really helpful'}
 {'aspect': 'his class', 'category': 'Course - Overall', 'opinion': 'Def recommend'}]"
AOC_134,AOC,1_65_743_1606,"Very Lenient on assignments, which i loved. However there is so much work and very little direction or help on how to do it. Whenever i tried to schedule a time to meet with her, her time was limited.","[{'aspect': 'assignments', 'category': 'Staff - Teaching', 'opinion': 'Very Lenient on'}
 {'aspect': 'work', 'category': 'Course - Workload', 'opinion': 'so much'}
 {'aspect': 'direction or help', 'category': 'Staff - Teaching', 'opinion': 'very little'}
 {'aspect': 'her time', 'category': 'Staff - Helpfulness', 'opinion': 'limited'}]"
AOC_135,AOC,1_37_2591_10580,"He is a fantastic professor. He is my favorite professor that I have taken at SFSU. Study once in group before the exam and always show. You will get a good grade. Very friendly, strange and sarcastic sense of humor. I will dearly miss this class. Everyone should take Plant Ecology with Tom! Also you learn so much in this class.","[{'aspect': 'professor', 'category': 'Staff - Overall', 'opinion': 'fantastic'}
 {'aspect': 'professor', 'category': 'Staff - Overall', 'opinion': 'my favorite'}
 {'aspect': 'professor', 'category': 'Staff - Personal traits', 'opinion': 'sarcastic sense of humor'}
 {'aspect': 'professor', 'category': 'Staff - Attitude', 'opinion': 'Very friendly'}
 {'aspect': 'professor', 'category': 'Staff - Personal traits', 'opinion': 'strange'}
 {'aspect': 'this class', 'category': 'Course - Overall', 'opinion': 'will dearly miss'}
 {'aspect': 'Plant Ecology with Tom', 'category': 'Course - Overall', 'opinion': 'Everyone should take'}
 {'aspect': 'this class', 'category': 'Course - Overall', 'opinion': 'learn so much'}]"
AOC_136,AOC,1_137_695_13325,"This was one of the best classes I have ever taken. Prof. Eret is really passionate about the subject matter and keeps the class engaged, lots of group work( not my fave) but totally worth it! Tests are not that hard if you keep careful notes, and the material is fun, no chore to read. TAKE THIS CLASS!!!","[{'aspect': 'THIS CLASS', 'category': 'Course - Overall', 'opinion': 'one of the best classes I have ever taken'}
 {'aspect': 'Prof. Eret', 'category': 'Staff - Teaching', 'opinion': 'keeps the class engaged'}
 {'aspect': 'Prof. Eret', 'category': 'Staff - Teaching', 'opinion': 'passionate about the subject matter'}
 {'aspect': 'group work', 'category': 'Course - Learning activity', 'opinion': 'totally worth it'}
 {'aspect': 'group work', 'category': 'Course - Learning activity', 'opinion': 'not my fave'}
 {'aspect': 'Tests', 'category': 'Course - Assessment', 'opinion': 'not that hard'}
 {'aspect': 'material', 'category': 'Course - Course materials', 'opinion': 'no chore to read'}
 {'aspect': 'material', 'category': 'Course - Course materials', 'opinion': 'fun'}
 {'aspect': 'THIS CLASS', 'category': 'Course - Overall', 'opinion': 'TAKE'}]"
AOC_137,AOC,2_303_54,"Probably the hardest first year course, a course solely on how to prove things. It is invaluable if you are pursuing a cs degree however.","[{'aspect': 'first year course', 'category': 'Course - Difficulty', 'opinion': 'hardest'}
 {'aspect': 'first year course', 'category': 'Course - Overall', 'opinion': 'invaluable if you are pursuing a cs degree'}]"
AOC_138,AOC,1_40_831_14884,"Boring! bring something to in the lecture class, when you're in the lab it's helpful to pay attention. Overall it's a pretty easy class if you just show up.","[{'aspect': 'lecture class', 'category': 'Course - Learning activity', 'opinion': 'Boring'}
 {'aspect': 'class', 'category': 'Course - Difficulty', 'opinion': 'pretty easy'}]"
AOC_139,AOC,1_130_1152_10048,"Professor Duffy gives pretty good lectures, that are easy to follow, and will happily answer and questions you may have if you can't seem to follow along. She makes you work for your grade, but gives you some tools along the way to help you out. Overall this class was pretty good, and I would take her again:)","[{'aspect': 'Professor Duffy', 'category': 'Staff - Overall', 'opinion': 'I would take her again'}
 {'aspect': 'lectures', 'category': 'Staff - Teaching', 'opinion': 'pretty good'}
 {'aspect': 'lectures', 'category': 'Staff - Teaching', 'opinion': 'easy to follow'}
 {'aspect': 'Professor Duffy', 'category': 'Staff - Attitude', 'opinion': 'will happily answer and questions'}
 {'aspect': 'Professor Duffy', 'category': 'Staff - Teaching', 'opinion': 'makes you work for your grade'}
 {'aspect': 'Professor Duffy', 'category': 'Staff - Teaching', 'opinion': 'gives you some tools along the way'}
 {'aspect': 'class', 'category': 'Course - Overall', 'opinion': 'pretty good'}]"
AOC_140,AOC,2_13838_742,"Literally such a great course, the prof is amazing and the content is actually very interesting. Especially if you're fluent in French its easily a course you can get above a 90 in.","[{'aspect': 'course', 'category': 'Course - Overall', 'opinion': 'great'}
 {'aspect': 'prof', 'category': 'Staff - Overall', 'opinion': 'amazing'}
 {'aspect': 'content', 'category': 'Course - Content', 'opinion': 'very interesting'}]"
AOC_141,AOC,1_45_1980_13347,"Took him for intro to energy and sustainability. Interesting lecturer and good looking too! Just take notes during his lectures and use old posted material for the tests. No final exam, just a final group project that the TA Jami completely handles. Online 4 question attendance quizzes after each class. Two extra credit opps also.","[{'aspect': 'lecturer', 'category': 'Staff - Personal traits', 'opinion': 'Interesting'}
 {'aspect': 'lecturer', 'category': 'Staff - Personal traits', 'opinion': 'good looking'}]"
AOC_142,AOC,1_89_1206_7974,"Professor Pistonetti is awesome! I had her for College Writing II, but the theme was Rock Music. We wrote about music videos, lyrics, and then I did a research paper on my favorite band. She's also a musician, and I think a poet.","[{'aspect': 'Professor Pistonetti', 'category': 'Staff - Overall', 'opinion': 'awesome'}]"
AOC_143,AOC,2_10523_257,"I took this course remotely with Brad and he was really great. he set the course up to have just 4 assignments~ 20-25% each. i would say i dedicated 1-2 hours per assignment and with medium effort got mid-80's marks. the course is actually kinda useful, you learn some things which may be relevant if you wanna work in research and it was a fun break from the other hard courses that i was taking. all in all not a bad course course and actually pretty informative.","[{'aspect': 'Brad', 'category': 'Staff - Overall', 'opinion': 'really great'}
 {'aspect': 'course', 'category': 'Course - Overall', 'opinion': 'actually kinda useful'}
 {'aspect': 'course', 'category': 'Course - Overall', 'opinion': 'a fun break from the other hard courses'}
 {'aspect': 'course', 'category': 'Course - Overall', 'opinion': 'not a bad course   course'}
 {'aspect': 'course', 'category': 'Course - Overall', 'opinion': 'pretty informative'}]"
AOC_144,AOC,1_140_428_7583,One of the most helpful and understanding professors in the department. Knows his stuff and knows how tough the life of a student can get with a full class load. Expects the world from his students but is willing to go the extra mile to help them achieve it. Would be a great permanent edition!!,"[{'aspect': 'professors', 'category': 'Staff - Attitude', 'opinion': 'One of the most helpful and understanding'}
 {'aspect': 'professors', 'category': 'Staff - Overall', 'opinion': 'Would be a great permanent edition'}
 {'aspect': 'professors', 'category': 'Staff - Knowledge & skills', 'opinion': 'Knows his stuff'}
 {'aspect': 'professors', 'category': 'Staff - Attitude', 'opinion': 'knows how tough the life of a student can get'}
 {'aspect': 'professors', 'category': 'Staff - Teaching', 'opinion': 'Expects the world from his students'}
 {'aspect': 'professors', 'category': 'Staff - Helpfulness', 'opinion': 'willing to go the extra mile to help them achieve it'}]"
AOC_145,AOC,1_172_2573_2933,"Not a good teacher. Expected the students to already know what he was doing without explaining it. Sometimes funny, but that's not what's important. He gets off topic easily and rarely helps a student when they ask for it one on one in class. He just tells you to look at your book to learn it.","[{'aspect': 'teacher', 'category': 'Staff - Overall', 'opinion': 'Not a good'}
 {'aspect': 'teacher', 'category': 'Staff - Teaching', 'opinion': 'just tells you to look at your book to learn it'}
 {'aspect': 'teacher', 'category': 'Staff - Teaching', 'opinion': 'Expected the students to already know what he was doing without explaining it'}
 {'aspect': 'teacher', 'category': 'Staff - Personal traits', 'opinion': 'Sometimes funny'}
 {'aspect': 'teacher', 'category': 'Staff - Teaching', 'opinion': 'gets off topic easily'}
 {'aspect': 'teacher', 'category': 'Staff - Helpfulness', 'opinion': 'rarely helps a student when they ask for it one on one in class'}]"
AOC_146,AOC,2_2583_941,It could be an easy course if the prof was better,"[{'aspect': 'course', 'category': 'Course - Difficulty', 'opinion': 'could be an easy'}
 {'aspect': 'null', 'category': 'Staff - Overall', 'opinion': 'if the prof was better'}]"
AOC_147,AOC,2_10006_883,"The concepts are useful in day to day life. Ben Nelson was a good prof, he'll gladly help you if you need it and makes it easy to do well in this course.","[{'aspect': 'concepts', 'category': 'Course - Content', 'opinion': 'useful in day to day life'}
 {'aspect': 'Ben Nelson', 'category': 'Staff - Teaching', 'opinion': 'makes it easy to do well in this course'}
 {'aspect': 'Ben Nelson', 'category': 'Staff - Overall', 'opinion': 'a good prof'}
 {'aspect': 'Ben Nelson', 'category': 'Staff - Helpfulness', 'opinion': 'gladly help you'}]"
AOC_148,AOC,1_156_1338_7051,"I took Professor Teeter's Advanced Legal Writing course, and I found her to be knowledgable, dedicated, and down to earth.","[{'aspect': ""Professor Teeter's"", 'category': 'Staff - Personal traits', 'opinion': 'down to earth'}
 {'aspect': ""Professor Teeter's"", 'category': 'Staff - Knowledge & skills', 'opinion': 'knowledgable'}
 {'aspect': ""Professor Teeter's"", 'category': 'Staff - Attitude', 'opinion': 'dedicated'}]"
AOC_149,AOC,2_5090_1296,"Very straightforward course- the courseware provided by Dr. Viviah Dayeh matched perfectly with her lecture slides, was superbly organized, and was actually useful for studying and note taking. The only difficulty was the amount of information that needed to be memorized for each unit, but there were no tricks or surprises.","[{'aspect': 'course', 'category': 'Course - Overall', 'opinion': 'Very straightforward'}
 {'aspect': 'course', 'category': 'Course - Overall', 'opinion': 'no tricks or surprises'}
 {'aspect': 'courseware', 'category': 'Course - Course materials', 'opinion': 'matched perfectly with her lecture slides'}
 {'aspect': 'courseware', 'category': 'Course - Course materials', 'opinion': 'superbly organized'}
 {'aspect': 'courseware', 'category': 'Course - Course materials', 'opinion': 'actually useful'}
 {'aspect': 'amount of information', 'category': 'Course - Difficulty', 'opinion': 'difficulty'}]"
AOC_150,AOC,2_8287_1018,"Being new to this type of mathematical thinking, the first month was a bit hard to adapt but overall this was an easy course, and it taught me what I think will be very important concepts down the line. Pay attention, this is good stuff!","[{'aspect': 'the first month', 'category': 'Course - Difficulty', 'opinion': 'a bit hard to adapt'}
 {'aspect': 'course', 'category': 'Course - Difficulty', 'opinion': 'easy'}
 {'aspect': 'course', 'category': 'Course - Overall', 'opinion': 'good stuff'}
 {'aspect': 'concepts', 'category': 'Course - Content', 'opinion': 'very important'}]"
AOC_151,AOC,1_240_617_4813,"Please take her class. I heard the other teachers do not even grade fairly, but Debbie does. Your grade is the effort you put in the class, so if you want an A and really show it, you'll get an A. She gives a lot of feedback and helps us to become better speakers. Shell occasionally crack a joke, but overall she was a very nice/ easy teacher!!!!","[{'aspect': 'her class', 'category': 'Course - Overall', 'opinion': 'Please take'}
 {'aspect': 'Debbie', 'category': 'Staff - Teaching', 'opinion': 'grade fairly'}
 {'aspect': 'Debbie', 'category': 'Staff - Attitude', 'opinion': 'very nice'}
 {'aspect': 'Debbie', 'category': 'Staff - Teaching', 'opinion': 'gives a lot of feedback'}
 {'aspect': 'Debbie', 'category': 'Staff - Teaching', 'opinion': 'helps us to become better speakers'}
 {'aspect': 'Debbie', 'category': 'Staff - Personal traits', 'opinion': 'easy'}]"
AOC_152,AOC,2_5239_376,"Difficulty sky rockets after the second mid term. Other than that, it is a great course, Cormack teaches pretty well and the grade distribution between assignments and exams is well balanced.","[{'aspect': 'Difficulty', 'category': 'Course - Difficulty', 'opinion': 'sky rockets after the second mid term'}
 {'aspect': 'course', 'category': 'Course - Overall', 'opinion': 'great'}
 {'aspect': 'Cormack', 'category': 'Staff - Teaching', 'opinion': 'teaches pretty well'}
 {'aspect': 'grade distribution', 'category': 'Course - Assessment', 'opinion': 'well balanced'}]"
AOC_153,AOC,2_910_1016,"Was one of my highest marks. Lin alg is very useful to cs, learn it well.","[{'aspect': 'Lin alg', 'category': 'Course - Overall', 'opinion': 'very useful to cs'}]"
